Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Baitemir company,агентство недвижимости,Агентства недвижимости,"Ботанический Сад улица, 21",11 кабинет,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:30-13:00, 14:00-19:00; Вт: 09:30-13:00, 14:00-19:00; Ср: 09:30-13:00, 14:00-19:00; Чт: 09:30-13:00, 14:00-19:00; Пт: 09:30-13:00, 14:00-19:00; Сб: 09:30-13:00, 14:00-19:00; Вс: 09:30-13:00, 14:00-19:00 (по предварительному звонку)",+05:00,4.3,8,87077777613,,,,,,,,,https://wa.me/77077777613,,,,,,,43.218205,76.906776,https://2gis.com/firm/70000001045924717,branch
Barakat Group,агентство недвижимости,Агентства недвижимости,"проспект Аль-Фараби, 21 блок 8",1241 офис; 4 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,6,87006888308,87756175597,,,,,,https://instagram.com/barakatgroup.kz,,https://wa.me/77006888308,,,,,,,43.228507,76.943303,https://2gis.com/firm/70000001111714349,branch
Competent,агентство недвижимости,Агентства недвижимости,"улица Толе би, 151",2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи),+05:00,5.0,10,87789526650,,,,,,,,,https://wa.me/77789526650,,,,,,,43.252978,76.911783,https://2gis.com/firm/70000001088460227,branch
Demetra,агентство недвижимости,Агентства недвижимости,"улица Шевченко, 162/7",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,124,87051076947,,,,,,,https://instagram.com/demetra_almaty,,https://wa.me/77051076947,,,,,,,43.24352,76.909242,https://2gis.com/firm/9429940001033081,branch
Dixi,агентство недвижимости,Агентства недвижимости; Недвижимость за рубежом; Оформление недвижимости,"проспект Сейфуллина, 609",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительной записи),+05:00,4.5,8,87751056891,87078355554,,,,,,https://instagram.com/ninaluk_real.estate,,https://wa.me/77078355554,,,viber://chat/?number=77078355554,https://t.me/rovinskiyvn,,,43.236251,76.935416,https://2gis.com/firm/70000001083305972,branch
DM Associates,консалтинговая компания,Агентства недвижимости; Управленческий консалтинг; Инвестиционные компании,"улица Толе би, 55",1 этаж,050031,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,6,87772632949,,,,,,,https://instagram.com/dm.associates,https://facebook.com/dm.associates.kz,https://wa.me/77772632949,,,,,,,43.255253,76.94608,https://2gis.com/firm/70000001038170652,branch
Duplex,агентство недвижимости,Агентства недвижимости,"улица Солодовникова, 21е",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,145,87715787822,,,,,,,,,https://wa.me/77715787822,,,,,,,43.233875,76.893375,https://2gis.com/firm/70000001079912506,branch
Estet,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"улица Мынбаева, 53",201 кабинет; 2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-13:00,+05:00,5.0,6,87055123323,,,,,,,,,,,,,,,,43.23761,76.902439,https://2gis.com/firm/70000001103404679,branch
Estet,агентство недвижимости,Агентства недвижимости,"улица Ауэзова, 82",200 кабинет; 2 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-13:00,+05:00,4.5,100,87750000014,87751840040,,,,,,,,https://wa.me/77750000014,https://wa.me/77751840040,,,,,,43.238525,76.904546,https://2gis.com/firm/70000001061621658,branch
Etalon,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Ипотечные займы,"5-й микрорайон, 30Б",501 офис; 5 этаж,050062,5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,4.6,90,87011990033,,,,,,,https://instagram.com/etalon.realestate,,https://wa.me/77011990033,,,,,,,43.231871,76.868159,https://2gis.com/firm/70000001078689654,branch
Favorit real estate,агентство недвижимости,Агентства недвижимости,"улица Зенкова, 59",148 кабинет; 1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.9,199,87088088801,,,,,,,https://instagram.com/favorit_realestate,,https://wa.me/77088088811,,,,,,,43.249486,76.957541,https://2gis.com/firm/70000001054892201,branch
Forum Estate,агентство недвижимости,Агентства недвижимости,"улица Ауэзова, 5",в коворкинге Mantis,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,4.5,23,87475802336,,,,,,,,,https://wa.me/77475802336,,,,,,,43.25248,76.902022,https://2gis.com/firm/70000001055257904,branch
Ipoteka invest,компания,Агентства недвижимости,"улица Айманова, 126",501 офис; 5 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 12:00-17:00,+05:00,5.0,24,87474341203,87769136095,,,,,,https://instagram.com/ipotekainvest,,https://wa.me/77474341203,https://wa.me/77074350808,,,,,,43.23778,76.897399,https://2gis.com/firm/70000001093653697,branch
Laura.Dom,онлайн-агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,,,,,,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00 (по предварительной записи),+05:00,5.0,23,87774111181,87777460660,87786040994,,,,,https://instagram.com/lauradom.kz,,https://wa.me/77774111181,,,,,,,,,https://2gis.com/firm/70000001082533985,branch
Lebed Capital,агентство недвижимости,Агентства недвижимости,"улица Наурызбай батыра, 70",4 офис,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,16,87777220011,,,,,,,https://instagram.com/lebed.capital,,https://wa.me/77777220011,,,,https://t.me/lebedcapital,,,43.256844,76.937267,https://2gis.com/firm/70000001094733393,branch
Legenda,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"улица Шевченко, 186",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00; Сб: 10:00-13:00,+05:00,5.0,145,87082955475,,,legendarealestatealmaty@gmail.com,,,,https://instagram.com/legendarealestate,,https://wa.me/77082955475,,,,,,,43.242846,76.898308,https://2gis.com/firm/70000001109809639,branch
Magic Home,агентство недвижимости,Агентства недвижимости,"микрорайон Аксай-3а, 90",31 офис; 3 этаж,050031,Аксай-3а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-14:00",+05:00,2.8,12,87770973939,,,,,,,,,https://wa.me/77770973939,,,,,,,43.238201,76.82721,https://2gis.com/firm/70000001037841189,branch
Megapolis,агентство недвижимости,Агентства недвижимости; Недвижимость за рубежом; Оформление недвижимости,"микрорайон Самал-1, 32",1 этаж,050059,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительному звонку),+05:00,5.0,20,87089530311,,,,,,,https://instagram.com/megapolis.realestate,,https://wa.me/77089530311,,,,,,,43.23447,76.952533,https://2gis.com/firm/70000001069597933,branch
Monolit,агентство недвижимости,Агентства недвижимости,"улица Тлендиева, 225",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-16:00,+05:00,4.9,59,87075858181,87075551574,,,,,,https://instagram.com/monolit.ag,,https://wa.me/77075551574,https://wa.me/77075858181,,,,,,43.237617,76.874344,https://2gis.com/firm/70000001093716256,branch
Nelina. kz & Partners,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"проспект Назарбаева, 99",28 офис,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,73,87771216192,,,,,,,https://instagram.com/kseniia_realtor_almaty,,https://wa.me/77771216192,,,,,,,43.258675,76.945729,https://2gis.com/firm/70000001065054077,branch
New Stage,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Ипотечные займы,"проспект Гагарина, 124",3 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,41,87057611899,,,,,,,https://instagram.com/newstage_almaty,,https://wa.me/77057611899,,,,,,,43.237659,76.895305,https://2gis.com/firm/70000001065540981,branch
One Million group,​риелторское агентство,Агентства недвижимости,"улица Байтерекова, 51",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,4.0,7,87006066616,,,,,,,,,https://wa.me/77006066616,,,,,,,43.260889,76.821188,https://2gis.com/firm/70000001105177362,branch
Partner Group,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"улица Шевченко, 165Б",407 офис; 4 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00,+05:00,4.2,24,87472727133,,,,,,,https://instagram.com/partnergroup.estate,,https://wa.me/77472727133,,,,,,,43.243103,76.892025,https://2gis.com/firm/70000001063247156,branch
Phoenix Group,онлайн-агентство недвижимости,Агентства недвижимости; Оформление недвижимости,,,,,,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-15:00,+05:00,4.7,30,87775201090,,,,,,,https://instagram.com/phoenix_group_agency,,https://wa.me/77775201090,,,,,,,,,https://2gis.com/firm/70000001047854848,branch
Pro100R,агентство недвижимости,Агентства недвижимости,"улица Шевченко, 165Б",616 офис; 6 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-13:00, 14:00-19:00; Вт: 11:00-13:00, 14:00-19:00; Ср: 11:00-13:00, 14:00-19:00; Чт: 11:00-13:00, 14:00-19:00; Пт: 11:00-13:00, 14:00-19:00; Сб: 11:00-13:00, 14:00-16:00",+05:00,4.5,77,87016660131,,,,,,,,,https://wa.me/77016660131,,,,,,,43.243103,76.892025,https://2gis.com/firm/70000001028945292,branch
Qazaq Home,агентство недвижимости,Агентства недвижимости,"улица Макашева, 31",205 кабинет; 2 этаж,040902,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,13,87080889140,87088525326,,,,,,,,https://wa.me/77080889140,https://wa.me/77088525326,,,,,,43.20391,76.616721,https://2gis.com/firm/70000001099734502,branch
Qazyna,агентство недвижимости,Агентства недвижимости,"Ораза Жандосова улица, 49",1 этаж,050043,11 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,4.9,40,87071167568,87773236837,,,,,,https://instagram.com/qazyna_almaty.kz,,https://wa.me/77071167568,https://wa.me/77773236837,,,https://t.me/+77071167568,,,43.218637,76.876567,https://2gis.com/firm/70000001063328514,branch
Qonys Group,агентство недвижимости,Агентства недвижимости; Ремонт помещений,"Атагельды Исмаилова улица, 64 к1",116 помещение; 1 этаж,,,,Алматы,Талгарский район,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-15:00,+05:00,5.0,10,87074635001,,,,,,,https://instagram.com/qonys__group,,https://wa.me/77074635001,,,,,,,43.318391,77.02921,https://2gis.com/firm/70000001114431674,branch
Realty Pro,агентство недвижимости,Агентства недвижимости,"проспект Достык, 162 к8",3 офис; 1 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-14:00",+05:00,5.0,46,87022355001,,,,,,,https://instagram.com/realty.pro.almaty,,https://wa.me/77022355001,,,,https://t.me/realtyproalmaty,,,43.233938,76.960545,https://2gis.com/firm/70000001081876873,branch
Renaissance Real Estate,агентство недвижимости,Агентства недвижимости,"проспект Гагарина, 245 к4",цокольный этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,24,87760576096,,,,,,,https://instagram.com/renaissance.real.estate,,https://wa.me/77760576096,,,,,,,43.208896,76.897334,https://2gis.com/firm/70000001113901538,branch
Rentier,агентство недвижимости,Агентства недвижимости; Согласование перепланировок; Оценка собственности; Помощь в оформлении ипотеки,"улица Желтоксан, 112",2 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-15:00,+05:00,5.0,29,87775232458,,,,,,,,,https://wa.me/77775232458,,,,,,,43.256427,76.939895,https://2gis.com/firm/70000001110566445,branch
Satti Homes,агентство недвижимости,Агентства недвижимости,"проспект Назарбаева, 223",1 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,6,87010000342,,,,,,,https://instagram.com/satti_homes,,https://wa.me/77010000342,,,,,,,43.232783,76.948348,https://2gis.com/firm/70000001114244511,branch
Senim real estate agency,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"проспект Гагарина, 124",3 офис; 3 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,4.9,23,87764810030,87076520677,,,,,,,,https://wa.me/77764810030,https://wa.me/77076520677,,,,,,43.237659,76.895305,https://2gis.com/firm/70000001092493385,branch
Shanyraq Property,агентство коммерческой недвижимости,Агентства недвижимости,"8-й микрорайон, 4а",108 офис; 1 этаж,050006,8-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-15:00,+05:00,5.0,17,87710333187,87004560456,,,,,,https://instagram.com/shanyraq_property,,https://wa.me/77710333187,https://wa.me/77004560456,,,https://t.me/+77710333187,,,43.230558,76.868766,https://2gis.com/firm/70000001092842608,branch
SN,агентство недвижимости,Агентства недвижимости; Оценка собственности,"улица Шагабутдинова, 31",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,5.0,6,87757651113,87079330237,,,,,,https://instagram.com/sn_servicealmaty,,https://wa.me/77757651113,,,,,,,43.257711,76.919691,https://2gis.com/firm/70000001068073966,branch
Spectr agency,​агентство недвижимости,Агентства недвижимости,"улица Каныша Сатпаева, 30/1",71 офис; 1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.7,78,87007626512,,,,,,,,,https://wa.me/77007626512,,,,,,,43.235131,76.922218,https://2gis.com/firm/70000001084483130,branch
Sunny Estate,агентство недвижимости,Агентства недвижимости,"Байзакова улица, 222",58 офис; 3 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-15:00 (по предварительной записи),+05:00,5.0,8,87762258883,,,,,,,,,https://wa.me/77762258883,,,,https://t.me/+77762258883,,,43.246683,76.912719,https://2gis.com/firm/70000001093681779,branch
SunSales,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"проспект Сейфуллина, 597а",408 офис; 4 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,51,87066062166,87077360010,,,,,,https://instagram.com/sunsales_agency,,https://wa.me/77077360010,https://wa.me/77066062166,,,,,,43.239803,76.93388,https://2gis.com/firm/70000001089086180,branch
Tal,агентство недвижимости,Агентства недвижимости,"улица Айтиева, 154/1",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 11:00-15:00,+05:00,5.0,12,87714442144,,,,,,,https://instagram.com/tal.estate,,https://wa.me/77714442144,,,,,,,43.246087,76.905856,https://2gis.com/firm/70000001110312638,branch
Triada Home,онлайн-агентство недвижимости,Агентства недвижимости,"улица Байтурсынова, 63",57 офис,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.8,6,87055295209,,,,,,,https://instagram.com/triada.almaty,,,,,,,,,43.250284,76.92535,https://2gis.com/firm/70000001105785681,branch
Trust Estate,агентство недвижимости,Агентства недвижимости,"проспект Назарбаева, 99",13 офис,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,18,87019422114,,,,,,,https://instagram.com/biketova_rieltor_almaty,,https://wa.me/77019422114,,,,,,,43.258675,76.945729,https://2gis.com/firm/70000001100890410,branch
Ui_alaiyq,онлайн-компания,Агентства недвижимости; Помощь в оформлении ипотеки,,,,,,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-13:00,+05:00,4.8,133,87074444439,87024444439,,,,,,https://instagram.com/ui_alaiyq,,https://wa.me/77074444439,https://wa.me/77024444439,,,,,,,,https://2gis.com/firm/70000001063806648,branch
