Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники; Разработка и продвижение сайтов; Дизайн рекламы; Разработка мобильных приложений,"микрорайон Нуркент, 5/11",2 этаж,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,9,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.261071,76.817406,https://2gis.com/firm/70000001110353870,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники; Разработка и продвижение сайтов; Дизайн рекламы; Разработка мобильных приложений,"улица Еламан, 78а",,,,,,Карасайский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,5,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.212707,76.736185,https://2gis.com/firm/70000001110351132,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Кондиционеры; Ремонт телефонов; Монтаж климатических систем; Системное администрирование; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Оргтехника; Разработка и продвижение сайтов; Ремонт оргтехники; Дизайн рекламы; Обслуживание климатического оборудования для помещений,"улица Айманова, 140 блок Б7",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,23,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.236816,76.898167,https://2gis.com/firm/70000001110333253,branch
Aggregator,​сервисный центр,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК; Охранные системы; Ремонт телефонов; Системное администрирование; Ремонт цифровой техники; Монтаж охранно-пожарных систем; Монтаж компьютерных сетей; Заправка картриджей; Расходные материалы для оргтехники; Ремонт оргтехники; Разработка и продвижение сайтов; Дизайн рекламы; Разработка мобильных приложений,"микрорайон Шугыла, 340/35 к10",цокольный этаж,050000,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,10,87757671215,,,,,,,,,,,,,https://wa.me/77757671215,,,,,,,,43.209982,76.787796,https://2gis.com/firm/70000001106063676,branch
Akmobile service,центр ремонта мобильных телефонов,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Аксессуары к телефонам; Ремонт цифровой техники,"микрорайон Жетысу-3, 1г/4",,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.2,5,87478163616,87078801245,,,,,,,,,,,,https://wa.me/77478163616,,,,https://t.me/+77478163616,,,,43.218224,76.843113,https://2gis.com/firm/70000001114356637,branch
Akom tehno service,фотосалон,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Аксессуары к телефонам; Комиссионные магазины; Мобильные телефоны; Помощь в подключении услуг связи,"улица Жанкожа батыра, 135",,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,129,87474498840,,,,,,,,,https://instagram.com/akom_tehno_service,,,,https://wa.me/77474498840,,,,,,,,43.297747,76.850983,https://2gis.com/firm/70000001024860398,branch
Albek Service,центр ремонта сотовых телефонов и ноутбуков,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Сборка и апгрейд ПК; Монтаж компьютерных сетей,"улица Байтурсынова, 1а",7 офис; 1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.4,16,87071532242,,,,,,,,,,,,,https://wa.me/77071532242,,,,,,,,43.2624,76.924259,https://2gis.com/firm/70000001087423230,branch
Albek Service,центр ремонта сотовых телефонов и ноутбуков,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Ремонт оргтехники; Аксессуары к телефонам,"улица Байтурсынова, 65а",213 офис; 1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,2.5,8,87071532242,,,,,,,,,,,,,https://wa.me/77071532242,,,,https://t.me/+77071532242,,,,43.249241,76.925857,https://2gis.com/firm/70000001077442244,branch
Alma shop,бутик,Компьютеры; Аксессуары к телефонам; Бытовая техника,"проспект Жибек Жолы, 55",2 ряд; 1 этаж; напротив ExpressZaim,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,2,87072015050,,,,,,,,,https://instagram.com/quarantine_shopp,,,,https://wa.me/77072015050,,,,,,,,43.26287,76.953753,https://2gis.com/firm/70000001092477410,branch
Almashop.kz,магазин,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"проспект Абылай хана, 62",11 место; 5 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,1.0,1,87082541998,,,,,,,,,https://instagram.com/almashop.kz,,,,https://wa.me/77082541998,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001082373367,branch
Almaty_nout,магазин по продаже электроники,Компьютеры; Аудиотехника и видеотехника; Комиссионные магазины; Ремонт компьютеров,"5-й микрорайон, 29",,050062,5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,5.0,326,87008461606,87070208481,,,,,,,,https://instagram.com/almaty_nout,,,,https://wa.me/77070208481,https://wa.me/77008461606,,,https://t.me/+77008461606,https://t.me/almaty_nout,,,43.230816,76.866981,https://2gis.com/firm/70000001089821077,branch
almaty_telephone,бутик по продаже и ремонту гаджетов,Компьютеры; Мобильные телефоны,"проспект Абылай хана, 62",24 место; 15 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,87072607297,,,,,,,,,https://instagram.com/almaty_telephone,,,,https://wa.me/77072607297,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001114153256,branch
Almaz Retail,салон сотовых телефонов и аксессуаров,Компьютеры; Аксессуары к телефонам; Мобильные телефоны,"проспект Абылай хана, 62",105 офис; 4 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,87076109339,,,,,,,,,,,,,https://wa.me/77076109339,,,,https://t.me/+77076109339,,,,43.26205,76.941855,https://2gis.com/firm/70000001067342955,branch
Ar IT,торговая компания,Компьютеры; Оргтехника; Программное обеспечение; Сетевое оборудование; Расходные материалы для оргтехники,"микрорайон Атырау, 159/8",6 корпус; 202 офис; 2 этаж,050019,Атырау м-н,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87754481115,87016212133,,,,,,,,,,,,https://wa.me/77016212133,,,,https://t.me/+77016212133,,,,43.292202,76.986203,https://2gis.com/firm/70000001104659495,branch
Armour Mobile,​магазин по продаже аксессуаров для сотовых телефонов,Компьютеры; Аксессуары к телефонам,"улица Гоголя, 144",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,5.0,5,87086705357,,,,,,,,,https://instagram.com/armour_mobile,,,,https://wa.me/77086705357,,,,,,,,43.257874,76.917078,https://2gis.com/firm/70000001093748593,branch
Arrowx,магазин,Компьютеры; Мобильные телефоны,"проспект Райымбека, 169а",218 офис; 2 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,3.8,5,87780191996,,,,,,,,,https://instagram.com/arrowx.kz,,,,https://wa.me/77780191996,,,,,,,,43.270109,76.93334,https://2gis.com/firm/70000001061251629,branch
Art gsm Service,сервисный центр по ремонту сотовых телефонов и ноутбуков,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Аксессуары к телефонам; Мобильные телефоны,"проспект Алтынсарина, 26",1 этаж,050038,11 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-14:00, 15:00-20:00; Вт: 10:00-14:00, 15:00-20:00; Ср: 10:00-14:00, 15:00-20:00; Чт: 10:00-14:00, 15:00-20:00; Пт: 10:00-14:00, 15:00-20:00; Сб: 11:00-14:00, 15:00-19:00; Вс: 11:00-14:00, 15:00-19:00",+05:00,4.1,26,87071555565,87079096987,,,,,,,,,,,,https://wa.me/77071555565,https://wa.me/77079096987,,,,,,,43.220564,76.871635,https://2gis.com/firm/70000001034626536,branch
Art IT,компания,Компьютеры; Оргтехника,"Богенбай батыра улица, 186",5 офис; 1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-17:00; Вт: 09:00-13:00, 14:00-17:00; Ср: 09:00-13:00, 14:00-17:00; Чт: 09:00-13:00, 14:00-17:00; Пт: 09:00-13:00, 14:00-17:00",+05:00,1.0,1,87474029772,87272930628,,,,,,,,,,,,https://wa.me/77474029772,,,,,,,,43.251531,76.9239,https://2gis.com/firm/70000001022102167,branch
ASstore,островок по продаже сотовых телефонов и аксессуаров,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Ремонт телефонов; Ремонт компьютеров,"улица Макатаева, 81",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,4,87770703777,,,,,,,,,https://instagram.com/a.sstore.kz,,,,https://wa.me/77770703777,,,,,,,,43.263985,76.941524,https://2gis.com/firm/9429940001096930,branch
ASUS,торгово-сервисная компания,Компьютеры; Мобильные телефоны,"проспект Жибек Жолы, 104а",3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.3,112,87071730675 (сервисный центр),,,,,,,,,,,,,,,,,,,,,43.261695,76.941691,https://2gis.com/firm/9429940001343332,branch
Azerti,компания,Компьютеры,"улица Абиша Кекилбайулы, 255",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,35,87273810392,87272220091,,,,,,,,,,,,,,,,,,,,43.19303,76.890816,https://2gis.com/firm/70000001028580081,branch
Baitime,комиссионный магазин,Компьютеры; Мобильные телефоны; Комиссионные магазины; Аксессуары к телефонам; Аудиотехника и видеотехника,"улица Ауэзова, 32",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,4,87057513264,,,,,,,,,,,,,https://wa.me/77057513264,,,,,,,,43.251067,76.902852,https://2gis.com/firm/70000001115468330,branch
Baitime,комиссионный магазин,Компьютеры; Мобильные телефоны; Комиссионные магазины; Аксессуары к телефонам; Аудиотехника и видеотехника,"улица Гоголя, 91",2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,370,87775222066,,,callcenter.al@yandex.ru,,,,,,,,,,https://wa.me/77775222066,,,,,,,,43.260379,76.942177,https://2gis.com/firm/70000001033964795,branch
Bek service,выездной сервисный центр,Компьютеры; Системное администрирование; Ремонт телефонов; Сборка и апгрейд ПК; Программное обеспечение,,,,,,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительному звонку),+05:00,5.0,10,87073554354,87012066941,,,,,,,,,,,,https://wa.me/77012066941,https://wa.me/77073554354,,,https://t.me/+77073554354,,,,,,https://2gis.com/firm/70000001076064139,branch
Belser,"компания по покупке, продаже и ремонту ноутбуков",Компьютеры; Комиссионные магазины; Ремонт компьютеров; Системное администрирование,"проспект Абая, 79",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,365,87478384900,,,,,,,,,https://instagram.com/noutbuk.almaty,,,,https://wa.me/77478384900,,,,,,,,43.241504,76.928602,https://2gis.com/firm/70000001092715394,branch
Best IT,торгово-сервисная фирма,Компьютеры; Монтаж охранно-пожарных систем; Ремонт компьютеров; Охранные системы; Монтаж компьютерных сетей,"проспект Райымбека, 212/1",102 офис; 1 этаж,050034,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87273300247,87273300248,87775510797,,,,,,,,,,,https://wa.me/77775510797,https://wa.me/77774077740,,,,,,,43.260309,76.892068,https://2gis.com/firm/70000001018877999,branch
Best_BigShop,магазин техники,Компьютеры; Ремонт компьютеров,"проспект Райымбека, 255",9 блок; 2 этаж,050034,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,4,87055500111,87003800055,,,,,,,,https://instagram.com/bigshop.kzt,,,,https://wa.me/77055500111,https://wa.me/77003800055,,,https://t.me/bigshop,,,,43.262183,76.893747,https://2gis.com/firm/70000001083547241,branch
BGaming,сервисный центр,Компьютеры; Ремонт компьютеров; Системное администрирование,"проспект Абылай хана, 66",,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.9,1,87018830147,,,,,,,,,https://instagram.com/bgamingkz,,,,https://wa.me/77018830147,,,,,,,,43.200786,76.631942,https://2gis.com/firm/70000001095475791,branch
BigCom,компания,Компьютеры; Финансовый консалтинг,"улица Монгольская, 44",604 офис; 6 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-17:00; Вт: 10:00-13:00, 14:00-17:00; Ср: 10:00-13:00, 14:00-17:00; Чт: 10:00-13:00, 14:00-17:00; Пт: 10:00-13:00, 14:00-17:00",+05:00,,,87009789510,87753818181,,,,,,,,,,,,https://wa.me/77753818181,https://wa.me/77009789510,,,,,,,43.263139,76.91441,https://2gis.com/firm/70000001088761540,branch
Brand Server Options (BSO),компания,Компьютеры; Сетевое оборудование; Коммутационное оборудование,"Байзакова улица, 125",704а офис; 7 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87273107031,,,,,,,,,,,,,https://wa.me/77003107031,,,,https://t.me/+77003107031,,,,43.256369,76.910744,https://2gis.com/firm/70000001066627742,branch
BroComp Shop & Service,сервисный центр,Компьютеры; Ремонт компьютеров; Программное обеспечение; Сборка и апгрейд ПК,"улица Муратбаева, 136",208; 315 кабинет; 2 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+05:00,5.0,131,87073187533,,,,,,,,,https://instagram.com/bro.comp,,,,https://wa.me/77073187533,,,,https://t.me/+77073187533,,,,43.251669,76.919174,https://2gis.com/firm/70000001042972905,branch
Buy Technics,компания,Компьютеры; Мобильные телефоны; Бытовая техника; Оргтехника; Аксессуары к телефонам,"улица Желтоксан, 138",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00,+05:00,4.8,1,87272613988,87010546656,,,,,,,,https://instagram.com/reserve.lombard,,,,https://wa.me/77010546656,,,,,,,,43.250228,76.940794,https://2gis.com/firm/70000001052486264,branch
